2025-10-13 17:58:29 | INFO     | __main__ | 🎮 Starting Sokoban game application...
2025-10-13 17:58:29 | INFO     | __main__ | 📁 Loading Level 1 from levels.txt...
2025-10-13 17:58:29 | INFO     | __main__ | Initializing GameMapWidget with level size 10x4
2025-10-13 17:58:29 | INFO     | log.logger | 🚀 Calling __init__(['####', '#  ###', '#    #', '# $  #', '### ###', '# $ $ #', '#..@..#', '#  $  #', '###  ##', '  ####'])
2025-10-13 17:58:29 | INFO     | game_manager | 🗺️  Initializing game map with 10 rows
2025-10-13 17:58:29 | INFO     | log.logger | 🚀 Calling __init__(Position(2, 3))
2025-10-13 17:58:29 | INFO     | Entities.box | 📦 Creating box at Position(2, 3)
2025-10-13 17:58:29 | INFO     | log.logger | ✅ __init__ completed successfully
2025-10-13 17:58:29 | INFO     | log.logger | 🚀 Calling __init__(Position(2, 5))
2025-10-13 17:58:29 | INFO     | Entities.box | 📦 Creating box at Position(2, 5)
2025-10-13 17:58:29 | INFO     | log.logger | ✅ __init__ completed successfully
2025-10-13 17:58:29 | INFO     | log.logger | 🚀 Calling __init__(Position(4, 5))
2025-10-13 17:58:29 | INFO     | Entities.box | 📦 Creating box at Position(4, 5)
2025-10-13 17:58:29 | INFO     | log.logger | ✅ __init__ completed successfully
2025-10-13 17:58:29 | INFO     | log.logger | 🚀 Calling __init__(Position(3, 6))
2025-10-13 17:58:29 | INFO     | Entities.character | 👤 Creating player at Position(3, 6)
2025-10-13 17:58:29 | INFO     | log.logger | ✅ __init__ completed successfully
2025-10-13 17:58:29 | INFO     | log.logger | 🚀 Calling __init__(Position(3, 7))
2025-10-13 17:58:29 | INFO     | Entities.box | 📦 Creating box at Position(3, 7)
2025-10-13 17:58:29 | INFO     | log.logger | ✅ __init__ completed successfully
2025-10-13 17:58:29 | INFO     | log.logger | ℹ️  Game map initialized: 7x10, entities: 63
2025-10-13 17:58:29 | INFO     | log.logger | ✅ __init__ completed successfully
2025-10-13 17:58:29 | INFO     | __main__ | GameMapWidget initialization complete
2025-10-13 17:59:46 | INFO     | log.logger | 🚀 Calling push_box()
2025-10-13 17:59:46 | INFO     | log.logger | 🎮 Player action: pushed box (total pushes: 1)
2025-10-13 17:59:46 | INFO     | log.logger | ✅ push_box completed successfully
2025-10-13 17:59:46 | INFO     | log.logger | 🎮 Player action: moved from Position(3, 6) to Position(3, 7)
2025-10-13 17:59:46 | INFO     | log.logger | ⏱️  move_player executed in 1.81ms
2025-10-13 17:59:46 | INFO     | __main__ | Player moved down successfully
2025-10-13 17:59:48 | INFO     | log.logger | 🎮 Player action: moved from Position(3, 7) to Position(3, 6)
2025-10-13 17:59:48 | INFO     | log.logger | ⏱️  move_player executed in 0.59ms
2025-10-13 17:59:48 | INFO     | __main__ | Player moved up successfully
2025-10-13 17:59:49 | INFO     | log.logger | 🎮 Player action: moved from Position(3, 6) to Position(3, 5)
2025-10-13 17:59:49 | INFO     | log.logger | ⏱️  move_player executed in 0.71ms
2025-10-13 17:59:49 | INFO     | __main__ | Player moved up successfully
2025-10-13 17:59:50 | INFO     | log.logger | 🎮 Player action: moved from Position(3, 5) to Position(3, 6)
2025-10-13 17:59:50 | INFO     | log.logger | ⏱️  move_player executed in 0.51ms
2025-10-13 17:59:50 | INFO     | __main__ | Player moved down successfully
2025-10-13 17:59:50 | INFO     | log.logger | 🎮 Player action: moved from Position(3, 6) to Position(3, 7)
2025-10-13 17:59:50 | INFO     | log.logger | ⏱️  move_player executed in 0.75ms
2025-10-13 17:59:50 | INFO     | __main__ | Player moved down successfully
2025-10-13 17:59:51 | INFO     | log.logger | 🎮 Player action: moved from Position(3, 7) to Position(3, 6)
2025-10-13 17:59:51 | INFO     | log.logger | ⏱️  move_player executed in 0.67ms
2025-10-13 17:59:51 | INFO     | __main__ | Player moved up successfully
2025-10-13 17:59:53 | INFO     | log.logger | 🎮 Player action: moved from Position(3, 6) to Position(3, 5)
2025-10-13 17:59:53 | INFO     | log.logger | ⏱️  move_player executed in 0.78ms
